id,label
488,21
489,13
490,2
491,5
492,4
493,9
494,8
495,4
496,13
497,24
498,17
499,25
500,3
501,3
502,4
503,8
504,18
505,7
506,2
507,13
508,6
509,21
510,19
511,24
512,15
513,12
514,25
515,19
516,25
517,11
518,2
519,26
520,26
521,16
522,3
523,15
524,17
525,5
526,1
527,25
528,3
529,17
530,24
531,20
532,3
533,4
534,17
535,10
536,17
537,15
538,1
539,21
540,16
541,7
542,11
543,8
544,20
545,26
546,12
547,3
548,24
549,4
550,26
551,12
552,16
553,19
554,16
555,16
556,4
557,21
558,14
559,18
560,4
561,25
562,2
563,24
564,3
565,19
566,12
567,16
568,22
569,2
570,18
571,17
572,25
573,12
574,3
575,22
576,10
577,2
578,12
579,19
580,8
581,10
582,24
583,1
584,23
585,19
586,14
587,3
588,7
589,6
590,9
591,12
592,18
593,26
594,14
595,18
596,5
597,7
598,20
599,21
600,12
601,23
602,22
603,21
604,16
605,26
606,16
607,25
608,17
609,18
610,24
611,11
612,5
613,4
614,22
615,18
616,21
617,1
618,7
619,16
620,21
621,24
622,6
623,22
624,3
625,23
626,8
627,24
628,11
629,11
630,11
631,3
632,25
633,9
634,13
635,12
636,12
637,15
638,3
639,15
640,10
641,8
642,25
643,23
644,17
645,24
646,1
647,19
648,10
649,25
650,15
651,3
652,2
653,16
654,6
655,25
656,10
657,13
658,9
659,18
660,22
661,22
662,8
663,5
664,25
665,1
666,19
667,9
668,6
669,26
670,6
671,16
672,23
673,9
674,18
675,15
676,2
677,15
678,10
679,19
680,22
681,16
682,15
683,6
684,2
685,24
686,14
687,17
688,16
689,11
690,17
691,7
692,18
693,5
694,23
695,19
696,6
697,21
698,18
699,7
700,17
701,7
702,14
703,19
704,17
705,14
706,13
707,7
708,1
709,4
710,7
711,10
712,22
713,15
714,26
715,8
716,2
717,12
718,7
719,2
720,15
721,25
722,8
723,13
724,25
725,11
726,4
727,12
728,6
729,23
730,5
731,23
732,24
733,7
734,5
735,22
736,1
737,25
738,15
739,3
740,12
741,13
742,15
743,15
744,24
745,3
746,8
747,26
748,19
749,2
750,8
751,2
752,25
753,24
754,12
755,1
756,5
757,24
758,8
759,13
760,4
761,3
762,9
763,23
764,5
765,21
766,22
767,2
768,4
769,18
770,17
771,11
772,9
773,19
774,13
775,19
776,6
777,9
778,10
779,23
780,11
781,23
782,12
783,15
784,1
785,13
786,6
787,13
788,1
789,24
790,23
791,7
792,13
793,9
794,6
795,21
796,24
797,12
798,20
799,23
800,22
801,7
802,24
803,18
804,25
805,13
806,14
807,8
808,18
809,12
810,5
811,3
812,17
813,3
814,4
815,17
816,25
817,10
818,6
819,26
820,20
821,2
822,9
823,5
824,21
825,14
826,8
827,24
828,8
829,18
830,23
831,21
832,2
833,23
834,24
835,23
836,6
837,24
838,20
839,21
840,5
841,6
842,5
843,26
844,3
845,20
846,13
847,18
848,8
849,16
850,25
851,23
852,25
853,12
854,12
855,8
856,24
857,10
858,2
859,20
860,25
861,1
862,23
863,2
864,7
865,18
866,9
867,23
868,9
869,4
870,12
871,5
872,4
873,11
874,20
875,17
876,17
877,15
878,11
879,19
880,15
881,2
882,14
883,15
884,1
885,19
886,12
887,22
888,22
889,22
890,24
891,25
892,9
893,25
894,6
895,12
896,3
897,15
898,4
899,19
900,15
901,17
902,11
903,6
904,17
905,15
906,11
907,4
908,20
909,7
910,13
911,8
912,26
913,14
914,15
915,9
916,19
917,2
918,14
919,8
920,16
921,15
922,16
923,8
924,6
925,5
926,4
927,21
928,15
929,20
930,1
931,26
932,22
933,13
934,7
935,1
936,20
937,5
938,13
939,12
940,12
941,24
942,10
943,11
944,1
945,19
946,21
947,25
948,17
949,24
950,26
951,17
952,13
953,21
954,16
955,11
956,9
957,17
958,16
959,21
960,18
961,17
962,3
963,7
964,6
965,5
966,14
967,22
968,10
969,10
970,6
971,23
972,26
973,7
974,3
975,7
976,18
977,26
978,25
979,1
980,10
981,19
982,3
983,17
984,15
985,26
986,6
987,7
988,7
989,2
990,9
991,24
992,2
993,22
994,18
995,23
996,7
997,18
998,26
999,4
1000,4
1001,12
1002,5
1003,4
1004,23
1005,5
1006,11
1007,8
1008,4
1009,23
1010,10
1011,24
1012,9
1013,18
1014,3
1015,13
1016,17
1017,2
1018,6
1019,16
1020,23
1021,25
1022,20
1023,8
1024,9
1025,13
1026,25
1027,4
1028,10
1029,22
1030,7
1031,17
1032,15
1033,2
1034,11
1035,7
1036,19
1037,12
1038,7
1039,15
1040,13
1041,11
1042,22
1043,9
1044,23
1045,7
1046,26
1047,8
1048,7
1049,16
1050,23
1051,25
1052,4
1053,12
1054,26
1055,24
1056,11
1057,1
1058,18
1059,24
1060,13
1061,15
1062,21
1063,23
1064,5
1065,6
1066,19
1067,20
1068,14
1069,9
1070,19
1071,6
1072,25
1073,17
1074,23
1075,12
1076,24
1077,1
1078,11
1079,8
1080,19
1081,16
1082,22
1083,20
1084,10
1085,22
1086,18
1087,8
1088,2
1089,6
1090,8
1091,8
1092,5
1093,26
1094,26
1095,7
1096,3
1097,26
1098,10
1099,25
1100,1
1101,11
1102,13
1103,22
1104,25
1105,12
1106,1
1107,14
1108,4
1109,12
1110,16
1111,6
1112,9
1113,12
1114,8
1115,15
1116,8
1117,24
1118,16
1119,1
1120,18
1121,19
1122,7
1123,10
1124,16
1125,25
1126,19
1127,18
1128,26
1129,9
1130,9
1131,2
1132,13
1133,1
1134,5
1135,22
1136,19
1137,15
1138,15
1139,4
1140,20
1141,20
1142,17
1143,18
1144,17
1145,5
1146,20
1147,25
1148,22
1149,5
1150,14
1151,12
1152,6
1153,10
1154,25
1155,17
1156,22
1157,14
1158,4
1159,26
1160,2
1161,2
1162,20
1163,7
1164,7
1165,21
1166,4
1167,22
1168,7
1169,12
1170,23
1171,21
1172,16
1173,2
1174,11
1175,11
1176,1
1177,3
1178,26
1179,16
1180,20
1181,16
1182,3
1183,11
1184,3
1185,21
1186,11
1187,26
1188,14
1189,7
1190,23
1191,21
1192,4
1193,25
1194,15
1195,6
1196,5
1197,4
1198,22
1199,10
1200,12
1201,6
1202,3
1203,17
1204,6
1205,18
1206,8
1207,25
1208,14
1209,20
1210,17
1211,4
1212,25
1213,17
1214,11
1215,11
1216,21
1217,6
1218,2
1219,16
1220,9
1221,6
1222,21
1223,6
1224,19
1225,15
1226,18
1227,16
1228,17
1229,8
1230,21
1231,25
1232,12
1233,15
1234,1
1235,24
1236,19
1237,8
1238,9
1239,23
1240,26
1241,6
1242,11
1243,4
1244,1
1245,15
1246,11
1247,10
1248,25
1249,24
1250,19
1251,18
1252,22
1253,2
1254,13
1255,21
1256,9
1257,7
1258,2
1259,9
1260,20
1261,10
1262,25
1263,7
1264,18
1265,15
1266,14
1267,23
1268,20
1269,23
1270,26
1271,23
1272,16
1273,5
1274,9
1275,8
1276,4
1277,25
1278,17
1279,24
1280,13
1281,22
1282,19
1283,21
1284,26
1285,4
1286,12
1287,8
1288,15
1289,16
1290,5
1291,11
1292,10
1293,8
1294,17
1295,22
1296,15
1297,4
1298,25
1299,9
1300,6
1301,9
1302,23
1303,10
1304,22
1305,20
1306,11
1307,18
1308,8
1309,19
1310,22
1311,1
1312,9
1313,11
1314,18
1315,14
1316,23
1317,12
1318,5
1319,18
1320,12
1321,6
1322,8
1323,20
1324,20
1325,21
1326,22
1327,1
1328,22
1329,8
1330,18
1331,5
1332,19
1333,1
1334,12
1335,10
1336,10
1337,16
1338,25
1339,23
1340,18
1341,24
1342,23
1343,14
1344,13
1345,23
1346,8
1347,8
1348,25
1349,5
1350,23
1351,1
1352,8
1353,24
1354,12
1355,10
1356,23
1357,6
1358,22
1359,2
1360,22
1361,24
1362,22
1363,3
1364,12
1365,14
1366,11
1367,25
1368,13
1369,25
1370,5
1371,6
1372,4
1373,21
1374,10
1375,5
1376,2
1377,6
1378,6
1379,21
1380,2
1381,3
1382,2
1383,3
1384,10
1385,7
1386,14
1387,14
1388,26
1389,21
1390,20
1391,8
1392,1
1393,23
1394,19
1395,2
1396,18
1397,7
1398,9
1399,16
1400,3
1401,18
1402,26
1403,15
1404,25
1405,8
1406,9
1407,3
1408,11
1409,4
1410,13
1411,17
1412,17
1413,22
1414,26
1415,15
1416,8
1417,10
1418,11
1419,19
1420,2
1421,17
1422,17
1423,7
1424,1
1425,6
1426,3
1427,20
1428,10
1429,18
1430,9
1431,24
1432,7
1433,11
1434,14
1435,18
1436,5
1437,5
1438,3
1439,23
1440,22
1441,23
1442,10
1443,21
1444,23
1445,8
1446,19
1447,4
1448,10
1449,14
1450,20
1451,26
1452,14
1453,17
1454,21
1455,5
1456,11
1457,1
1458,22
1459,17
1460,2
1461,12
1462,18
1463,1
1464,20
1465,23
1466,5
1467,16
1468,23
1469,4
1470,15
1471,24
1472,17
1473,16
1474,13
1475,19
1476,26
1477,25
1478,12
1479,22
1480,22
1481,13
1482,25
1483,15
1484,17
1485,4
1486,19
1487,20
1488,13
1489,13
1490,19
1491,3
1492,15
1493,19
1494,26
1495,26
1496,23
1497,1
1498,21
1499,19
1500,2
1501,10
1502,18
1503,10
1504,2
1505,10
1506,7
1507,3
1508,16
1509,23
1510,14
1511,4
1512,13
1513,19
1514,3
1515,16
1516,12
1517,21
1518,7
1519,21
1520,10
1521,2
1522,17
1523,21
1524,11
1525,6
1526,14
1527,24
1528,7
1529,20
1530,12
1531,14
1532,13
1533,14
1534,22
1535,6
1536,14
1537,24
1538,5
1539,14
1540,13
1541,16
1542,23
1543,17
1544,2
1545,1
1546,11
1547,24
1548,7
1549,4
1550,6
1551,17
1552,10
1553,21
1554,11
1555,21
1556,5
1557,8
1558,16
